order_id,customer_id,product_name,category,quantity,unit_price,discount_pct,order_date,status,country,revenue,first_name,last_name,email,phone,segment,join_date,lifetime_value
ORD-0001,1048,Wireless Mouse,Electronics,1,29.99,15.0,2023-08-05,Pending,United States,25.49,Fatima,Garcia,fatima.garcia82@gmail.com,+1-555-4232,Wholesale,2023-07-01,4053.21
ORD-0002,1033,Headphones Pro,Electronics,4,199.99,0.0,2023-03-01,Pending,Germany,799.96,Mike,Williams,mike.williams39@yahoo.com,,Retail,2022-07-25,4872.9
ORD-0003,1049,Desk Lamp,Furniture,4,39.99,0.0,2023-11-12,Pending,United States,159.96,Carlos,Lee,carlos.lee14@gmail.com,555-6340,Vip,2021-08-04,3075.98
ORD-0004,1007,Standing Desk,Furniture,2,449.0,0.0,2023-04-06,Completed,France,898.0,George,Brown,george.brown43@yahoo.com,,Wholesale,2020-12-11,4287.93
ORD-0005,1019,Laptop Pro 15,Electronics,4,1299.99,10.0,2023-11-12,Completed,United Kingdom,4679.96,Liam,Taylor,liam.taylor31@yahoo.com,,Retail,2023-05-09,2164.64
ORD-0006,1006,Headphones Pro,Electronics,2,199.99,15.0,2023-02-02,Pending,Germany,339.98,Mia,Moore,mia.moore5@yahoo.com,555-6489,Retail,2022-08-21,2366.7
ORD-0007,1045,Mechanical Keyboard,Electronics,3,119.99,0.0,2023-12-06,Pending,Germany,359.97,Yara,Lee,yara.lee89@gmail.com,+1-555-1402,Retail,2020-05-14,3664.25
ORD-0008,1018,Standing Desk,Furniture,5,449.0,15.0,2023-06-04,Unknown,France,1908.25,Oscar,Davis,oscar.davis70@yahoo.com,,Vip,2022-04-27,3874.06
ORD-0009,1018,Monitor 27inch,Electronics,1,329.0,0.0,2023-11-12,Cancelled,France,329.0,Oscar,Davis,oscar.davis70@yahoo.com,,Vip,2022-04-27,3874.06
ORD-0010,1017,Monitor 27inch,Electronics,2,329.0,15.0,2023-11-12,Unknown,United States,559.3,Yara,Brown,yara.brown5@gmail.com,555-4943,Retail,2021-02-04,268.97
ORD-0011,1033,Headphones Pro,Electronics,4,199.99,10.0,2023-12-07,Pending,United States,719.96,Mike,Williams,mike.williams39@yahoo.com,,Retail,2022-07-25,4872.9
ORD-0012,1025,Standing Desk,Furniture,2,449.0,0.0,2023-11-12,Completed,France,898.0,George,Anderson,george.anderson41@gmail.com,,Vip,2020-05-18,1021.15
ORD-0013,1008,Desk Lamp,Furniture,1,39.99,15.0,2023-11-12,Pending,France,33.99,Noah,Thomas,noah.thomas55@gmail.com,+1-555-2562,Wholesale,2021-08-11,2261.34
ORD-0014,1041,USB-C Hub,Electronics,5,49.99,0.0,2023-11-12,Completed,Germany,249.95,Kevin,Thomas,kevin.thomas36@gmail.com,,,2021-11-25,1087.76
ORD-0015,1002,Standing Desk,Furniture,5,449.0,0.0,2023-01-09,Cancelled,United Kingdom,2245.0,Zoe,Jones,zoe.jones38@yahoo.com,+1-555-2294,Wholesale,2023-11-09,1392.11
ORD-0016,1047,USB-C Hub,Electronics,2,49.99,0.0,2023-11-12,Completed,United States,99.98,Wendy,Brown,wendy.brown3@gmail.com,555-4996,,2021-09-06,2054.98
ORD-0017,1034,Standing Desk,Furniture,2,449.0,15.0,2023-11-12,Completed,Germany,763.3,Bob,Brown,bob.brown56@yahoo.com,555-6347,,2020-11-09,2787.54
ORD-0018,1034,Desk Lamp,Furniture,2,39.99,15.0,2023-11-12,Cancelled,United Kingdom,67.98,Bob,Brown,bob.brown56@yahoo.com,555-6347,,2020-11-09,2787.54
ORD-0019,1005,Laptop Pro 15,Electronics,5,1299.99,10.0,2023-11-12,Pending,United States,5849.96,Yara,Williams,yara.williams84@gmail.com,555-3868,,2023-03-02,3757.57
ORD-0020,1014,Laptop Pro 15,Electronics,3,1299.99,0.0,2023-08-09,Pending,United Kingdom,3899.97,Laura,Williams,laura.williams70@gmail.com,+1-555-2130,Vip,2020-05-14,4462.1
ORD-0021,1007,Headphones Pro,Electronics,4,199.99,0.0,2023-11-12,Cancelled,Germany,799.96,George,Brown,george.brown43@yahoo.com,,Wholesale,2020-12-11,4287.93
ORD-0022,1026,Mechanical Keyboard,Electronics,1,119.99,15.0,2023-11-12,Completed,United States,101.99,Hannah,Thomas,hannah.thomas73@gmail.com,555-5216,Retail,2023-12-21,1793.27
ORD-0023,1018,Ergonomic Chair,Furniture,2,389.0,10.0,2023-05-08,Cancelled,United States,700.2,Oscar,Davis,oscar.davis70@yahoo.com,,Vip,2022-04-27,3874.06
ORD-0024,1049,Desk Lamp,Furniture,1,39.99,0.0,2023-11-12,Completed,United States,39.99,Carlos,Lee,carlos.lee14@gmail.com,555-6340,Vip,2021-08-04,3075.98
ORD-0025,1017,Ergonomic Chair,Furniture,4,389.0,0.0,2023-11-12,Completed,France,1556.0,Yara,Brown,yara.brown5@gmail.com,555-4943,Retail,2021-02-04,268.97
ORD-0026,1038,Desk Lamp,Furniture,4,39.99,0.0,2023-10-04,Pending,United States,159.96,Mike,Garcia,mike.garcia18@yahoo.com,555-2036,Retail,2021-07-09,4723.9
ORD-0027,1033,Laptop Pro 15,Electronics,5,1299.99,5.0,2023-11-12,Completed,United States,6174.95,Mike,Williams,mike.williams39@yahoo.com,,Retail,2022-07-25,4872.9
ORD-0028,1006,Ergonomic Chair,Furniture,4,389.0,0.0,2023-08-10,Completed,Unknown,1556.0,Mia,Moore,mia.moore5@yahoo.com,555-6489,Retail,2022-08-21,2366.7
ORD-0029,1026,USB-C Hub,Electronics,2,49.99,15.0,2023-11-12,Pending,Germany,84.98,Hannah,Thomas,hannah.thomas73@gmail.com,555-5216,Retail,2023-12-21,1793.27
ORD-0030,1035,Wireless Mouse,Electronics,1,29.99,5.0,2023-11-12,Completed,United States,28.49,Mike,Jackson,mike.jackson24@gmail.com,+1-555-2404,Vip,2021-12-03,3187.81
ORD-0031,1046,Wireless Mouse,Electronics,2,29.99,0.0,2023-06-05,Unknown,United Kingdom,59.98,Laura,Moore,laura.moore44@gmail.com,555-6706,Vip,2023-02-15,271.18
ORD-0032,1017,Desk Lamp,Furniture,1,39.99,15.0,2023-10-09,Completed,United States,33.99,Yara,Brown,yara.brown5@gmail.com,555-4943,Retail,2021-02-04,268.97
ORD-0033,1044,USB-C Hub,Electronics,3,49.99,10.0,2023-11-12,Cancelled,Germany,134.97,Victor,Anderson,Unknown,+1-555-7547,Wholesale,2023-02-01,1986.11
ORD-0034,1001,Laptop Pro 15,Electronics,1,1299.99,15.0,2023-11-12,Pending,United States,1104.99,Julia,Miller,julia.miller89@gmail.com,555-5480,Vip,2022-02-19,4775.31
ORD-0035,1005,Standing Desk,Furniture,4,449.0,10.0,2023-11-12,Completed,United States,1616.4,Yara,Williams,yara.williams84@gmail.com,555-3868,,2023-03-02,3757.57
ORD-0036,1003,Laptop Pro 15,Electronics,3,1299.99,10.0,2023-05-09,Cancelled,United States,3509.97,Rachel,Wilson,rachel.wilson18@yahoo.com,+1-555-4920,Retail,2020-11-17,1684.95
ORD-0037,1050,Laptop Pro 15,Electronics,3,1299.99,0.0,2023-08-11,Completed,France,3899.97,Sam,Brown,sam.brown45@yahoo.com,+1-555-3826,Wholesale,2020-11-05,1897.87
ORD-0038,1002,Standing Desk,Furniture,2,449.0,0.0,2023-11-12,Completed,France,898.0,Zoe,Jones,zoe.jones38@yahoo.com,+1-555-2294,Wholesale,2023-11-09,1392.11
ORD-0039,1003,Notebook Set,Stationery,2,12.5,0.0,2023-11-12,Completed,France,25.0,Rachel,Wilson,rachel.wilson18@yahoo.com,+1-555-4920,Retail,2020-11-17,1684.95
ORD-0040,1026,Mechanical Keyboard,Electronics,3,119.99,0.0,2023-08-04,Completed,Germany,359.97,Hannah,Thomas,hannah.thomas73@gmail.com,555-5216,Retail,2023-12-21,1793.27
ORD-0041,1008,USB-C Hub,Electronics,3,49.99,15.0,2023-11-12,Cancelled,United States,127.47,Noah,Thomas,noah.thomas55@gmail.com,+1-555-2562,Wholesale,2021-08-11,2261.34
ORD-0042,1028,USB-C Hub,Electronics,1,49.99,0.0,2023-11-12,Cancelled,France,49.99,Carlos,Jones,carlos.jones2@yahoo.com,555-8916,Retail,2023-01-01,median()
ORD-0043,1034,Headphones Pro,Electronics,2,199.99,0.0,2023-11-12,Cancelled,United States,399.98,Bob,Brown,bob.brown56@yahoo.com,555-6347,,2020-11-09,2787.54
ORD-0044,1021,Ergonomic Chair,Furniture,3,389.0,5.0,2023-11-12,Cancelled,Unknown,1108.65,Mia,Jones,mia.jones60@gmail.com,555-9683,Retail,2021-07-08,4243.31
ORD-0045,1036,Desk Lamp,Furniture,3,39.99,15.0,2023-11-07,Cancelled,Germany,101.97,Xander,Thomas,xander.thomas41@yahoo.com,+1-555-6050,Vip,2022-05-04,2795.96
ORD-0046,1019,Standing Desk,Furniture,5,449.0,10.0,2023-11-12,Completed,Germany,2020.5,Liam,Taylor,liam.taylor31@yahoo.com,,Retail,2023-05-09,2164.64
ORD-0047,1031,Monitor 27inch,Electronics,4,329.0,5.0,2023-11-12,Pending,United Kingdom,1250.2,Rachel,Harris,rachel.harris8@gmail.com,+1-555-2354,Retail,2023-11-26,4511.3
ORD-0048,1049,Wireless Mouse,Electronics,3,29.99,10.0,2023-11-12,Cancelled,United States,80.97,Carlos,Lee,carlos.lee14@gmail.com,555-6340,Vip,2021-08-04,3075.98
